frame,mode,mae,psnr,temporal_delta_residual
0,O-1X,1.7771130800247192,34.601763044895854,
0,O-T2X-R,1.651268482208252,35.33255455001611,
0,profile-0,1.7928216457366943,34.61107079387744,
0,profile-1,1.7905809879302979,34.62493745571856,
1,O-1X,1.7771131992340088,34.60176157471671,2.0997213141527027e-05
1,O-T2X-R,1.651268720626831,35.332554984916214,2.0997213141527027e-05
1,profile-0,1.792822241783142,34.611067847211174,2.0997213141527027e-05
1,profile-1,1.7905811071395874,34.624934869139906,2.0997213141527027e-05
2,O-1X,1.7771106958389282,34.60175716418229,2.2021467884769663e-05
2,O-T2X-R,1.6512644290924072,35.33254454732579,2.2021467884769663e-05
2,profile-0,1.7928189039230347,34.611064163881146,2.2021467884769663e-05
2,profile-1,1.7905789613723755,34.624931174030216,2.2021467884769663e-05
3,O-1X,1.7771143913269043,34.601759001904426,2.185075936722569e-05
3,O-T2X-R,1.6512664556503296,35.332562378224615,2.185075936722569e-05
3,profile-0,1.7928227186203003,34.611067110544916,2.185075936722569e-05
3,profile-1,1.7905809879302979,34.62493449962879,2.185075936722569e-05
4,O-1X,1.7771127223968506,34.60176230980622,2.628919537528418e-05
4,O-T2X-R,1.6512655019760132,35.33255759431774,2.628919537528418e-05
4,profile-0,1.7928210496902466,34.61107042554405,2.628919537528418e-05
4,profile-1,1.790579915046692,34.62493745571856,2.628919537528418e-05
5,O-1X,1.7771118879318237,34.60176267735102,1.8948705474031158e-05
5,O-T2X-R,1.6512646675109863,35.33256020372084,1.8948705474031158e-05
5,profile-0,1.792819857597351,34.611069320544054,1.8948705474031158e-05
5,profile-1,1.790579080581665,34.62493708620723,1.8948705474031158e-05
6,O-1X,1.7771127223968506,34.60175789927105,1.860728661995381e-05
6,O-T2X-R,1.651267170906067,35.33256107352222,1.860728661995381e-05
6,profile-0,1.7928203344345093,34.611066005545766,1.860728661995381e-05
6,profile-1,1.7905795574188232,34.624932282562796,1.860728661995381e-05
7,O-1X,1.7771104574203491,34.60176635280072,1.9631541363196447e-05
7,O-T2X-R,1.6512656211853027,35.33256020372084,1.9631541363196447e-05
7,profile-0,1.7928184270858765,34.61107300387846,1.9631541363196447e-05
7,profile-1,1.7905783653259277,34.624940781321946,1.9631541363196447e-05
8,O-1X,1.7771140336990356,34.601759001904426,2.168005084968172e-05
8,O-T2X-R,1.6512664556503296,35.33256063862151,2.168005084968172e-05
8,profile-0,1.7928223609924316,34.61106674221184,2.168005084968172e-05
8,profile-1,1.7905806303024292,34.624934130117715,2.168005084968172e-05
9,O-1X,1.7771108150482178,34.60176157471671,2.236288673884701e-05
9,O-T2X-R,1.6512649059295654,35.33255585471655,2.236288673884701e-05
9,profile-0,1.7928187847137451,34.61106968887736,2.236288673884701e-05
9,profile-1,1.79057776927948,34.62493671669593,2.236288673884701e-05
10,O-1X,1.777113914489746,34.601757531726655,1.8095159248332493e-05
10,O-T2X-R,1.6512690782546997,35.33255455001611,1.8095159248332493e-05
10,profile-0,1.792822241783142,34.61106563721278,1.8095159248332493e-05
10,profile-1,1.790581464767456,34.62493265207372,1.8095159248332493e-05
11,O-1X,1.7771124839782715,34.60176047208269,1.8777996956487186e-05
11,O-T2X-R,1.6512666940689087,35.33255455001611,1.8777996956487186e-05
11,profile-0,1.7928200960159302,34.61106821554435,1.8777996956487186e-05
11,profile-1,1.790578007698059,34.62493597767343,1.8777996956487186e-05
12,O-1X,1.777111530303955,34.60176083962733,1.911941399157513e-05
12,O-T2X-R,1.651267647743225,35.33255194061641,1.911941399157513e-05
12,profile-0,1.792819857597351,34.61106821554435,1.911941399157513e-05
12,profile-1,1.790579080581665,34.62493523865105,1.911941399157513e-05
13,O-1X,1.7771127223968506,34.60176083962733,2.2704303773934953e-05
13,O-T2X-R,1.651267170906067,35.332558464118605,2.2704303773934953e-05
13,profile-0,1.7928212881088257,34.61106674221184,2.2704303773934953e-05
13,profile-1,1.7905802726745605,34.624933760606666,2.2704303773934953e-05
14,O-1X,1.7771124839782715,34.60175789927105,2.2021467884769663e-05
14,O-T2X-R,1.6512672901153564,35.33255541981636,2.2021467884769663e-05
14,profile-0,1.7928200960159302,34.61106563721278,2.2021467884769663e-05
14,profile-1,1.7905797958374023,34.62493265207372,2.2021467884769663e-05
15,O-1X,1.777115821838379,34.60175238610839,2.4752813260420226e-05
15,O-T2X-R,1.6512706279754639,35.332554984916214,2.4752813260420226e-05
15,profile-0,1.7928234338760376,34.611060480554244,2.4752813260420226e-05
15,profile-1,1.7905830144882202,34.62492673990274,2.4752813260420226e-05
16,O-1X,1.777111291885376,34.60176230980622,2.833770304278005e-05
16,O-T2X-R,1.6512699127197266,35.33255107081687,2.833770304278005e-05
16,profile-0,1.7928192615509033,34.61106968887736,2.833770304278005e-05
16,profile-1,1.7905786037445068,34.62493671669593,2.833770304278005e-05
17,O-1X,1.7771120071411133,34.60175973699349,2.0485087588895112e-05
17,O-T2X-R,1.6512675285339355,35.33255628961678,2.0485087588895112e-05
17,profile-0,1.792820692062378,34.611067110544916,2.0485087588895112e-05
17,profile-1,1.7905795574188232,34.624934869139906,2.0485087588895112e-05
18,O-1X,1.7771121263504028,34.60176010453808,1.758303369570058e-05
18,O-T2X-R,1.6512680053710938,35.33255107081687,1.758303369570058e-05
18,profile-0,1.7928200960159302,34.61106821554435,1.758303369570058e-05
18,profile-1,1.7905794382095337,34.62493523865105,1.758303369570058e-05
19,O-1X,1.7771127223968506,34.60176194226145,2.4069977371254936e-05
19,O-T2X-R,1.6512682437896729,35.33255802921815,2.4069977371254936e-05
19,profile-0,1.7928212881088257,34.611068583877554,2.4069977371254936e-05
19,profile-1,1.7905806303024292,34.62493560816222,2.4069977371254936e-05
20,O-1X,1.7771131992340088,34.60175863435993,2.236288673884701e-05
20,O-T2X-R,1.651267647743225,35.33255802921815,2.236288673884701e-05
20,profile-0,1.7928211688995361,34.611066005545766,2.236288673884701e-05
