System info:  AMD Ryzen 5 5600 6-Core Processor              , NVIDIA GeForce RTX 3060 Ti
API:  DirectX11

Resolution:   1920 x 1017
Vsync:        OFF
Fullscreen:   Windowed

Candidate-selection paired gate: O-T2X-R control versus DocCandidate/DocKernel and SourceCandidate/DocKernel. Both selective modes use first-edge-pass integrated candidates, CompactIndirect, expansion None, removal 0.5, no jitter, camera/depth reprojection, document sampler/clipping, weight 0.8, resolved-output feedback and two copies. Only candidate selection changes between selective modes. Standard retains paired sample pattern and spatial-frame history.
Release x64, DirectX 11, SMAA Ultra, VSync Off, fixed 60 Hz camera path, UI hidden, no PNG capture.
GPU pass timings use the built-in timestamp-query profiler; values are milliseconds.
WholeFrame covers GPU work between BeginFrame and EndAndPresentFrame, excluding Present itself.
ApplicationFrameWall is the observed CPU wall interval between corresponding AutoBench ticks and includes Present/OS scheduling.
1% low FPS is computed as 1000 / p99 frame time.
Repeat traversal alternates forward and reverse mode order to reduce order bias.
Scene: minecraft.
Candidate counter readback: enabled and reported explicitly.
Start time: 0.000 s, repeats: 1, warm-up: 60 frames, measurement: 180 frames per mode per repeat.

Mode, Timing metric, Type, Samples, Mean ms, Median ms, Frame stddev ms, P95 ms, P99 ms, Max ms, Runs, Run-mean stddev ms, 
O-T2X-R, ApplicationFrameWall, CPU wall interval, 180, 1.326448, 1.293600, 0.158244, 1.600000, 1.813000, 1.875100, 1, 0.000000, 
O-T2X-R, WholeFrame, GPU timestamp, 180, 1.281217, 1.281024, 0.154757, 1.565696, 1.665024, 1.772544, 1, 0.000000, 
O-T2X-R, SMAA, GPU timestamp, 180, 0.231578, 0.234496, 0.033098, 0.295936, 0.297984, 0.299008, 1, 0.000000, 
O-T2X-R, SMAAGenerateCameraVelocity, GPU timestamp, 180, 0.023910, 0.022528, 0.002092, 0.027648, 0.027648, 0.028672, 1, 0.000000, 
O-T2X-R, SMAAStandardSpatialT2X, GPU timestamp, 180, 0.171526, 0.168448, 0.031290, 0.234496, 0.237568, 0.237568, 1, 0.000000, 
O-T2X-R, SMAAStandardTemporalResolve, GPU timestamp, 180, 0.036130, 0.035840, 0.002569, 0.039936, 0.040960, 0.041984, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, ApplicationFrameWall, CPU wall interval, 180, 1.289914, 1.256950, 0.130763, 1.525700, 1.680500, 1.685200, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, WholeFrame, GPU timestamp, 180, 1.260703, 1.160192, 0.176745, 1.595392, 1.631232, 1.687552, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, SMAA, GPU timestamp, 180, 0.287824, 0.282112, 0.065960, 0.432128, 0.448512, 0.450560, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, SMAAGenerateCameraVelocity, GPU timestamp, 180, 0.022295, 0.022528, 0.000443, 0.022528, 0.022528, 0.023552, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, SMAASpatial1X, GPU timestamp, 180, 0.187255, 0.179200, 0.055039, 0.299008, 0.309248, 0.319488, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, TSCMAACopySpatialToHistory, GPU timestamp, 180, 0.021832, 0.021696, 0.000326, 0.022368, 0.022368, 0.022496, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, TSCMAAClearIntegratedCandidateBuffers, GPU timestamp, 180, 0.003573, 0.003072, 0.000512, 0.004096, 0.004096, 0.004096, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, TSCMAAComputeDispatchArgs, GPU timestamp, 180, 0.003868, 0.004096, 0.000426, 0.004096, 0.004096, 0.004096, 1, 0.000000, 
O-ET2X-R-DocCandidate-DocKernel, TSCMAAResolveCandidates, GPU timestamp, 180, 0.021231, 0.021504, 0.012315, 0.044032, 0.047104, 0.047104, 1, 0.000000, 
