frame,mode,mae,psnr,temporal_delta_residual
0,O-1X,1.7754325866699219,31.97221425343382,
0,O-T2X-R,1.625012993812561,33.25888850060513,
0,profile-0,1.7754325866699219,31.97221425343382,
0,profile-1,1.7754325866699219,31.97221425343382,
1,O-1X,1.7754325866699219,31.97221425343382,0.0
1,O-T2X-R,1.625012993812561,33.25888850060513,0.0
1,profile-0,1.7754325866699219,31.97221425343382,0.0
1,profile-1,1.7754325866699219,31.97221425343382,0.0
2,O-1X,1.7754325866699219,31.97221425343382,0.0
2,O-T2X-R,1.625012993812561,33.25888850060513,0.0
2,profile-0,1.7754325866699219,31.97221425343382,0.0
2,profile-1,1.7754325866699219,31.97221425343382,0.0
3,O-1X,1.7754325866699219,31.97221425343382,0.0
3,O-T2X-R,1.625012993812561,33.25888850060513,0.0
3,profile-0,1.7754325866699219,31.97221425343382,0.0
3,profile-1,1.7754325866699219,31.97221425343382,0.0
4,O-1X,1.7754325866699219,31.97221425343382,0.0
4,O-T2X-R,1.625012993812561,33.25888850060513,0.0
4,profile-0,1.7754325866699219,31.97221425343382,0.0
4,profile-1,1.7754325866699219,31.97221425343382,0.0
5,O-1X,1.7754325866699219,31.97221425343382,0.0
5,O-T2X-R,1.625012993812561,33.25888850060513,0.0
5,profile-0,1.7754325866699219,31.97221425343382,0.0
5,profile-1,1.7754325866699219,31.97221425343382,0.0
6,O-1X,1.7754325866699219,31.97221425343382,0.0
6,O-T2X-R,1.625012993812561,33.25888850060513,0.0
6,profile-0,1.7754325866699219,31.97221425343382,0.0
6,profile-1,1.7754325866699219,31.97221425343382,0.0
7,O-1X,1.7754325866699219,31.97221425343382,0.0
7,O-T2X-R,1.625012993812561,33.25888850060513,0.0
7,profile-0,1.7754325866699219,31.97221425343382,0.0
7,profile-1,1.7754325866699219,31.97221425343382,0.0
8,O-1X,1.7754325866699219,31.97221425343382,0.0
8,O-T2X-R,1.625012993812561,33.25888850060513,0.0
