scene,mode,window,first_index,last_index,frames,cgvqm2,test_pixel_sha256,reference_pixel_sha256,result,result_sha256,delta_from_document
bistro,O-ET2X-R-DocCandidate-DocKernel,central,150,329,180,96.6885757446289,c47b13f56dc4e2ca1f8f8744f2f630391f1e163cdf3fd0632541d022edf761a4,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb,tmp\source-comparison-cgvqm\bistro\profile-0\central\CGVQM-Results.json,6d1608964bb0f1ccd894942e760453654b0508f1444af8156f1f09de7e1e0b80,0.0
bistro,O-ET2X-R-DocCandidate-DocKernel,transition,410,439,30,94.56098175048828,6a6513ef37f98e07eb16fb919d4852c7ccb22486f0e2462039242242f64c3422,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814,tmp\source-comparison-cgvqm\bistro\profile-0\transition\CGVQM-Results.json,41064d0e44af2b141c8ebf0dece39bf6eb21da06fbc2e5482db6fe28887085d2,0.0
bistro,O-ET2X-R-SourceCandidate-DocKernel,central,150,329,180,96.6152114868164,4675c52a3eadaea9f2f583425f260c42e66bb1f78b0a690a41eba92870ca2030,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb,tmp\source-comparison-cgvqm\bistro\profile-1\central\CGVQM-Results.json,6606c0e5a5faa13699856167c7cbb9cca06cf4e80cd0a31c022156b546069908,-0.0733642578125
bistro,O-ET2X-R-SourceCandidate-DocKernel,transition,410,439,30,94.6279525756836,694f07132b27f87bc3f2fdfe47b866b36c028af0276b69e6fdb4899e1765649d,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814,tmp\source-comparison-cgvqm\bistro\profile-1\transition\CGVQM-Results.json,8fe31c6a6116a97973c25cdc577623a8a483675c15690b64fd2f47245237b6d9,0.0669708251953125
bistro,O-ET2X-R-DocCandidate-SourceKernel,central,150,329,180,94.21710968017578,89afe9bdbc5ed396c2e5c5a2ba15b42d5253440d9d9fadcc427fa8aeb056a16b,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb,tmp\source-comparison-cgvqm\bistro\profile-2\central\CGVQM-Results.json,b7cd728369a2928f3184a7b51010299fb5ba2352b3de4548736ee99feed0c8c7,-2.471466064453125
bistro,O-ET2X-R-DocCandidate-SourceKernel,transition,410,439,30,93.97224426269531,ac373fdbef65aedaa3a1cd3a5f0064ebca52571f78d47268c9f62602203fc076,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814,tmp\source-comparison-cgvqm\bistro\profile-2\transition\CGVQM-Results.json,f3a4dad6c4b0f4d6023546a3d55748a2c1da52017f06ce0fc1d03159859ace30,-0.5887374877929688
bistro,O-ET2X-R-SourceCandidate-SourceKernel,central,150,329,180,88.5227279663086,850c66d8493e08b280f9071a517733d44241ecab193e2d6d80784eab8184049c,a1b9a69f36567f82ef0e6eb9c8111db160d7872ba4e4badeae624c2206ba93eb,tmp\source-comparison-cgvqm\bistro\profile-3\central\CGVQM-Results.json,aa8088e34a30e033caea3f7120e260048fe288f1c68b5dd295b41a61357b8fa9,-8.165847778320312
bistro,O-ET2X-R-SourceCandidate-SourceKernel,transition,410,439,30,93.7978286743164,f07791fd37a3d87d868cb4ad0964f92e1e1ec22cdf7511ce3b8109ee0460f476,055e82e6a2b9221bb41fe9f37295f1f38d13da7b494f96909aa63b5aed59a814,tmp\source-comparison-cgvqm\bistro\profile-3\transition\CGVQM-Results.json,d099f498ad596f139c4af2a633cab9be2b92f5243eb1ecaf6bde7a8a3b04121e,-0.763153076171875
minecraft,O-ET2X-R-DocCandidate-DocKernel,central,150,329,180,97.51576232910156,11738f9678fe22ffd5a812fc08450c12610f26f678189c2da8a90e8bbb2014ef,24f82cc8487f1600e7d51cee46f1b83504f0613ce21a28709c8999edb12a7137,tmp\source-comparison-cgvqm\minecraft\profile-0\central\CGVQM-Results.json,2b66cea617979bca12c745c7075c792164bf8dba9b3f3b44cadde5a0147b0754,0.0
minecraft,O-ET2X-R-DocCandidate-DocKernel,transition,410,439,30,93.73902130126953,32ba6bde9d2307de45d8bd909608bd6370e334b7c8515f8e0961e61ecb8843c9,8c57181caa4bbf9c31e289c8d6fdda89b389198fb2ef8611082d3d9f2b73c078,tmp\source-comparison-cgvqm\minecraft\profile-0\transition\CGVQM-Results.json,fc03c5dda1078b6ae8f3a52a7b9fd9d78d36a011f28155c3e35b003c1d52e57f,0.0
